x,y,z,radius
39,51.5,32.5,7.37
39,13.5,32.5,7.37
26,51.5,32.5,7.37
26,13.5,32.5,7.37
52.5,32.5,32.5,6.95276
48.5,44.5,32.5,6.95276
48.5,20.5,32.5,6.95276
44.5,48.5,32.5,6.95276
44.5,16.5,32.5,6.95276
32.5,52.5,32.5,6.95276
32.5,12.5,32.5,6.95276
20.5,48.5,32.5,6.95276
20.5,16.5,32.5,6.95276
16.5,44.5,32.5,6.95276
16.5,20.5,32.5,6.95276
12.5,32.5,32.5,6.95276
51.5,38.5,32.5,6.87
51.5,26.5,32.5,6.87
13.5,38.5,32.5,6.87
13.5,26.5,32.5,6.87
