x,y,z,radius
25,45.5,24.5,6.37
25,42.5,24.5,6.37
25,39.5,24.5,6.37
25,36.5,24.5,6.37
25,33.5,24.5,6.37
25,30.5,24.5,6.37
45.5,24.5,24.5,5.87
42.5,24.5,24.5,5.87
39.5,24.5,24.5,5.87
36.5,24.5,24.5,5.87
33.5,24.5,24.5,5.87
30.5,24.5,24.5,5.87
27.5,24.5,24.5,5.87
24.5,27.5,24.5,5.87
24.5,24.5,24.5,5.87
