x,y,z,radius
-0.101792,0.23091,-0.0477007,1.03289
-0.254081,0.357818,0.129971,0.974822
0.202788,-0.25134,-0.0477007,0.958797
0.621584,-0.276722,-0.707622,0.892506
0.164715,0.992358,-0.225372,0.818732
0.329696,-0.657446,-0.301517,0.779288
-0.203318,0.307055,0.764511,0.757711
-0.901312,-0.454393,0.0538257,0.75536
0.380459,-0.0229059,0.9168,0.712536
-0.749023,0.713161,0.104589,0.689795
